iter	Logloss
0	0.6764932071
1	0.661634224
2	0.6474624762
3	0.6330072483
4	0.6205268411
5	0.6095669274
6	0.5979688628
7	0.5867079791
8	0.5775713752
9	0.5683646066
10	0.5595356404
11	0.5509146041
12	0.5432515633
13	0.5356126288
14	0.5282458906
15	0.5213291713
16	0.5144384048
17	0.5088455841
18	0.5032038841
19	0.497939884
20	0.4935362231
21	0.4890950179
22	0.4847315684
23	0.4800490948
24	0.4758283343
25	0.4722432625
26	0.4690042961
27	0.4653226452
28	0.4626450483
29	0.4590919815
30	0.4558711204
31	0.4529834395
32	0.4502553219
33	0.447116371
34	0.4443931772
35	0.4421416467
36	0.4391823648
37	0.4364236784
38	0.4339589864
39	0.4315328133
40	0.4292931821
41	0.4272743033
42	0.4254283232
43	0.4234611447
44	0.4217607258
45	0.4200037083
46	0.4180501217
47	0.4163689621
48	0.4146729285
49	0.4131529479
50	0.4115809336
51	0.4101846134
52	0.408931495
53	0.4077462845
54	0.406231792
55	0.4048589883
56	0.4035519127
57	0.4018696248
58	0.4004250663
59	0.3990567247
60	0.397902673
61	0.3967837037
62	0.3958243747
63	0.3947705694
64	0.3937344591
65	0.3928126487
66	0.3918395483
67	0.3908474449
68	0.3891401018
69	0.3880708326
70	0.3869365788
71	0.385856949
72	0.3844861968
73	0.3834902467
74	0.3827475924
75	0.3820406361
76	0.3812413833
77	0.380172473
78	0.3792510217
79	0.3785674792
80	0.3778795258
81	0.3771172019
82	0.3763352338
83	0.3753006623
84	0.3746382513
85	0.3740017675
86	0.3731764593
87	0.3720690559
88	0.3713951303
89	0.3704997343
90	0.3697955989
91	0.3687755937
92	0.3681364172
93	0.3673331637
94	0.366419329
95	0.3657369149
96	0.3651629023
97	0.3647088059
98	0.364035188
99	0.3634111933
100	0.3626320719
101	0.3622068517
102	0.3616803338
103	0.3609340123
104	0.3604079303
105	0.3600449506
106	0.359631758
107	0.3590470258
108	0.3586234982
109	0.3577960102
110	0.3571622191
111	0.3564306948
112	0.3559974478
113	0.355381044
114	0.3548857873
115	0.3541537758
116	0.353665751
117	0.3527234246
118	0.3521745185
119	0.3516171752
120	0.350953405
121	0.3505071303
122	0.350114505
123	0.3496952858
124	0.3489986131
125	0.3486214518
126	0.3482760646
127	0.3479448591
128	0.3469340092
129	0.3461489381
130	0.3456043404
131	0.345071565
132	0.3443376301
133	0.343817908
134	0.343528427
135	0.3430107565
136	0.3426314154
137	0.3421966296
138	0.3418685785
139	0.3414384089
140	0.3410282936
141	0.3402396066
142	0.3397154223
143	0.3393850631
144	0.3390561657
145	0.3386459735
146	0.3382211894
147	0.3378488493
148	0.3367726815
149	0.3364650694
150	0.3361727418
151	0.3358403567
152	0.3351639435
153	0.334709924
154	0.3344913258
155	0.3342424152
156	0.3338248117
157	0.3334935292
158	0.3331772748
159	0.3327171005
160	0.3324692926
161	0.3320902848
162	0.3317021218
163	0.3314737015
164	0.3311165946
165	0.3307259696
166	0.330081305
167	0.3297473042
168	0.3294257156
169	0.3289830825
170	0.3284172763
171	0.3277639181
172	0.3274217109
173	0.3272054207
174	0.3270031328
175	0.3264324028
176	0.3261151226
177	0.325836592
178	0.3254525064
179	0.324937221
180	0.3247949937
181	0.3244005732
182	0.3239343467
183	0.3236800506
184	0.323260139
185	0.3228535372
186	0.3225448224
187	0.3222350561
188	0.3219154166
189	0.3216402455
190	0.3214022596
191	0.3211630941
192	0.320939726
193	0.3203340418
194	0.3200234293
195	0.3197433087
196	0.3195816681
197	0.3193609158
198	0.3189084862
199	0.3186269295
200	0.3182822348
201	0.318049737
202	0.3177901068
203	0.3174847258
204	0.3171744723
205	0.3168957879
206	0.3167096306
207	0.3163317769
208	0.3159358433
209	0.3156314369
210	0.3152243734
211	0.3150556035
212	0.3147209103
213	0.3144767184
214	0.3140508572
215	0.3138627766
216	0.313690442
217	0.3134841534
218	0.3132191121
219	0.3128510291
220	0.3126743349
221	0.3123977276
222	0.3121450729
223	0.3120094107
224	0.3117906586
225	0.3114506569
226	0.3112351361
227	0.3110253599
228	0.3107127983
229	0.3104203937
230	0.3102549321
231	0.3100074063
232	0.3098166842
233	0.3094958137
234	0.3092935001
235	0.308987196
236	0.3085734904
237	0.308346096
238	0.3081271131
239	0.3077333082
240	0.3073764064
241	0.3071544743
242	0.3069833707
243	0.3067418716
244	0.3066144414
245	0.3064442611
246	0.3060689461
247	0.3057834657
248	0.3055833063
249	0.3054169983
250	0.3051464946
251	0.3048586036
252	0.3046435188
253	0.3044836221
254	0.304309954
255	0.3041636747
256	0.3037829744
257	0.3035565801
258	0.3033068745
259	0.3031924208
260	0.3028358524
261	0.3027124485
262	0.3025307792
263	0.3022810479
264	0.3021688253
265	0.3018722406
266	0.3015371114
267	0.3014913607
268	0.3011435629
269	0.3009453782
270	0.3006485883
271	0.3004157571
272	0.3002309591
273	0.2999468635
274	0.29979584
275	0.2996371999
276	0.2994210892
277	0.2992133389
278	0.2990174879
279	0.2988893397
280	0.2986388647
281	0.2985442859
282	0.2982894256
283	0.2980290004
284	0.2977283125
285	0.2975692108
286	0.2974683233
287	0.2972910136
288	0.2970971115
289	0.2969441903
290	0.2967319521
291	0.2965776716
292	0.2963838978
293	0.2961570676
294	0.295966961
295	0.295790472
296	0.2956212404
297	0.2954608821
298	0.2952358983
299	0.2951819668
300	0.2948811763
301	0.2947792374
302	0.2945800268
303	0.2943535556
304	0.2941800927
305	0.2940345572
306	0.2938915092
307	0.2937243293
308	0.2935188358
309	0.2933292421
310	0.2932012991
311	0.2929474133
312	0.2927852855
313	0.2925662257
314	0.2924082267
315	0.2922582803
316	0.2921556489
317	0.2920224999
318	0.2916897557
319	0.2915183444
320	0.2913302381
321	0.291239147
322	0.2911029207
323	0.2909377154
324	0.2908252876
325	0.290487594
326	0.2902679187
327	0.2900859672
328	0.2898307223
329	0.2896390001
330	0.289239502
331	0.2890516265
332	0.2888257451
333	0.2886504358
334	0.2884822557
335	0.2883979861
336	0.2882408591
337	0.2880346987
338	0.2878474644
339	0.2876787458
340	0.2875879624
341	0.2874414781
342	0.2873121246
343	0.2870496221
344	0.2869182683
345	0.2868159446
346	0.2865751892
347	0.2862791686
348	0.2860556723
349	0.2859027766
350	0.2856073973
351	0.285509382
352	0.2853223528
353	0.2852000261
354	0.2849904806
355	0.2847804478
356	0.2845518737
357	0.2843648959
358	0.2842436462
359	0.2841507856
360	0.2838560473
361	0.283738747
362	0.2835977506
363	0.2834437266
364	0.2832311807
365	0.2830879532
366	0.2829668574
367	0.2829190294
368	0.2828005494
369	0.2826502183
370	0.2824796789
371	0.2823304248
372	0.2821551155
373	0.2818812266
374	0.2817079945
375	0.2815786666
376	0.2814321822
377	0.2812902883
378	0.2809803169
379	0.2808121369
380	0.2805746639
381	0.2804180241
382	0.2800738166
383	0.2798995843
384	0.2798029026
385	0.2796060258
386	0.2794007373
387	0.2791913201
388	0.2789894681
389	0.2788247501
390	0.2787002692
391	0.2785972531
392	0.278326775
393	0.2781863429
394	0.2780727354
395	0.2780011858
396	0.2778418533
397	0.2777678161
398	0.2776835466
399	0.2774830794
400	0.2774526901
401	0.27725807
402	0.2771233567
403	0.2769785649
404	0.2769629727
405	0.276780534
406	0.2766460515
407	0.2764692547
408	0.2763621611
409	0.2761819022
410	0.2760539592
411	0.2758915236
412	0.2757382946
413	0.275571166
414	0.2754603795
415	0.2753124846
416	0.2751202239
417	0.2749878955
418	0.2749784325
419	0.2748294349
420	0.2747319069
421	0.2747134938
422	0.2745956293
423	0.2744713791
424	0.2742793748
425	0.274106989
426	0.2739852008
427	0.2738725678
428	0.2737685003
429	0.2736184
430	0.2734353202
431	0.2732803986
432	0.2730991139
433	0.2729551428
434	0.2727340057
435	0.2727258249
436	0.2726281943
437	0.2724789403
438	0.2724705031
439	0.2723503305
440	0.2723416881
441	0.2722094368
442	0.2721880232
443	0.2719730153
444	0.27184061
445	0.2716929973
446	0.2715240479
447	0.2714252376
448	0.2712546212
449	0.2711112399
450	0.2709439318
451	0.270819656
452	0.2706291135
453	0.2705001959
454	0.2703762279
455	0.2702984465
456	0.2701798896
457	0.2700278402
458	0.2700139663
459	0.2698710466
460	0.2697696974
461	0.269622495
462	0.2695137601
463	0.2693930233
464	0.2692375888
465	0.269210123
466	0.2690682035
467	0.2689601866
468	0.2688330899
469	0.2687268682
470	0.268648138
471	0.2685360949
472	0.2684289243
473	0.2683545281
474	0.2681862711
475	0.2680591744
476	0.267937104
477	0.2677855163
478	0.267757871
479	0.2676051805
480	0.2674334358
481	0.2672972607
482	0.2671915519
483	0.2670076002
484	0.266887325
485	0.2666717016
486	0.2665397067
487	0.2664170978
488	0.2662552521
489	0.2660115731
490	0.2659011969
491	0.26577628
492	0.2656373609
493	0.2656227176
494	0.2654489213
495	0.2653382886
496	0.2651882396
497	0.2650873008
498	0.2649350719
499	0.2648525719
500	0.2646966501
501	0.2645786061
502	0.2644102465
503	0.264284868
504	0.264173107
505	0.2640559862
506	0.2639221704
507	0.2637988692
508	0.2636601296
509	0.2634934369
510	0.2633476706
511	0.263213701
512	0.2631019143
513	0.2629784336
514	0.2628780076
515	0.2627650926
516	0.2626583324
517	0.2626468434
518	0.2624620454
519	0.2622875053
520	0.2621370716
521	0.2620284393
522	0.2620057947
523	0.2619150883
524	0.2618019168
525	0.2617928898
526	0.2617060044
527	0.2615684189
528	0.2613485897
529	0.2612691671
530	0.2611467121
531	0.2610661867
532	0.2609588879
533	0.2607868098
534	0.2607112852
535	0.2605577485
536	0.2603561786
537	0.2603509983
538	0.2603452282
539	0.2601652001
540	0.2600034569
541	0.2598274039
542	0.2596951012
543	0.2595882897
544	0.2595244592
545	0.2594519607
546	0.2593396355
547	0.2592605463
548	0.2590773895
549	0.2590470258
550	0.2588422503
551	0.2586716083
552	0.2585774911
553	0.2584227233
554	0.2584142348
555	0.2582939597
556	0.258203125
557	0.2581207532
558	0.2579770898
559	0.2578853319
560	0.2577545422
561	0.2576288047
562	0.2574914243
563	0.2573691488
564	0.2572891107
565	0.2571901979
566	0.2569542893
567	0.256759541
568	0.2566399839
569	0.2564862932
570	0.2563311921
571	0.256248051
572	0.2561551647
573	0.2561500101
574	0.2560441218
575	0.2559116908
576	0.2558045972
577	0.2557088644
578	0.2556036941
579	0.2555934361
580	0.2554790337
581	0.2552896195
582	0.2551663439
583	0.2550375802
584	0.2548472172
585	0.2547262496
586	0.2546210794
587	0.2545207561
588	0.2544019683
589	0.2542524322
590	0.2541426202
591	0.254001034
592	0.2537562779
593	0.2536456709
594	0.25345082
595	0.2533245183
596	0.2531925746
597	0.2530885071
598	0.2529870298
599	0.2528404172
600	0.2527260917
601	0.2525944045
602	0.2524465609
603	0.2523130529
604	0.2521780319
605	0.2520763237
606	0.2519362506
607	0.2518256436
608	0.2517140877
609	0.2515868628
610	0.2514134255
611	0.2514093479
612	0.2512905602
613	0.2512865339
614	0.2511774143
615	0.2510162097
616	0.2509323761
617	0.2508015096
618	0.2506973395
619	0.2506125057
620	0.2505004626
621	0.2503210757
622	0.2502470642
623	0.2501325591
624	0.2499845617
625	0.2498358206
626	0.2496834378
627	0.2495277212
628	0.2494118057
629	0.2493286646
630	0.2492173652
631	0.2491338906
632	0.2489908683
633	0.2488859289
634	0.2487770914
635	0.2486905394
636	0.2485866002
637	0.2485110756
638	0.2483803885
639	0.2482952983
640	0.2481594567
641	0.2480082536
642	0.247869591
643	0.2477173877
644	0.2475917015
645	0.2474636302
646	0.2473692565
647	0.2473657432
648	0.2472542899
649	0.2471041383
650	0.2470497452
651	0.247046078
652	0.2469322397
653	0.2468640752
654	0.2467800878
655	0.2465980337
656	0.2464916582
657	0.2463705624
