iter	Passed	Remaining
435	1599	2068
436	1602	2064
437	1610	2065
438	1613	2062
439	1616	2057
440	1618	2051
441	1620	2046
442	1624	2042
443	1627	2038
444	1631	2035
445	1634	2030
446	1637	2025
447	1641	2022
448	1644	2018
449	1647	2013
450	1650	2009
451	1653	2004
452	1657	2000
453	1660	1996
454	1662	1991
455	1664	1986
456	1667	1981
457	1669	1976
458	1673	1972
459	1675	1967
460	1678	1962
461	1681	1958
462	1684	1953
463	1687	1949
464	1691	1946
465	1695	1942
466	1699	1939
467	1703	1936
468	1707	1933
469	1710	1928
470	1712	1923
471	1714	1918
472	1716	1912
473	1719	1908
474	1722	1904
475	1726	1900
476	1729	1896
477	1732	1891
478	1735	1887
479	1739	1883
480	1741	1879
481	1744	1874
482	1746	1869
483	1749	1865
484	1752	1860
485	1755	1857
486	1758	1852
487	1762	1848
488	1765	1845
489	1770	1842
490	1774	1839
491	1777	1835
492	1780	1830
493	1783	1826
494	1787	1823
495	1790	1819
496	1795	1816
497	1798	1812
498	1800	1807
499	1803	1803
500	1807	1799
501	1810	1795
502	1812	1790
503	1814	1786
504	1817	1781
505	1820	1777
506	1823	1773
507	1826	1769
508	1829	1764
509	1831	1759
510	1833	1754
511	1837	1751
512	1841	1748
513	1845	1744
514	1849	1741
515	1852	1737
516	1855	1733
517	1858	1729
518	1861	1725
519	1863	1720
520	1865	1715
521	1868	1710
522	1871	1706
523	1874	1703
524	1877	1698
525	1880	1694
526	1883	1690
527	1886	1686
528	1889	1682
529	1892	1677
530	1894	1673
531	1898	1669
532	1901	1665
533	1904	1662
534	1907	1657
535	1910	1653
536	1915	1651
537	1918	1647
538	1923	1645
539	1928	1642
540	1932	1639
541	1937	1636
542	1939	1632
543	1943	1629
544	1947	1626
545	1950	1621
546	1952	1616
547	1954	1612
548	1958	1608
549	1963	1606
550	1966	1602
551	1969	1598
552	1971	1593
553	1974	1589
554	1978	1586
555	1981	1582
556	1983	1577
557	1986	1573
558	1989	1569
559	1992	1565
560	1994	1560
561	1997	1556
562	1999	1552
563	2001	1547
564	2006	1544
565	2009	1541
566	2012	1536
567	2015	1532
568	2018	1528
569	2025	1527
570	2029	1524
571	2033	1521
572	2036	1517
573	2042	1515
574	2045	1512
575	2048	1508
576	2051	1503
577	2054	1499
578	2058	1496
579	2062	1493
580	2065	1489
581	2067	1484
582	2070	1480
583	2074	1477
584	2079	1474
585	2082	1471
586	2085	1466
587	2088	1463
588	2091	1459
589	2094	1455
590	2096	1451
591	2099	1446
592	2102	1442
593	2106	1439
594	2109	1436
595	2113	1432
596	2117	1429
597	2121	1426
598	2124	1422
599	2127	1418
600	2130	1414
601	2133	1410
602	2136	1406
603	2139	1402
604	2141	1398
605	2143	1393
606	2146	1389
607	2149	1385
608	2153	1382
609	2156	1378
610	2159	1374
611	2162	1370
612	2166	1367
613	2171	1365
614	2175	1362
615	2179	1358
616	2182	1354
617	2187	1351
618	2189	1347
619	2193	1344
620	2195	1340
621	2198	1335
622	2202	1332
623	2205	1329
624	2209	1325
625	2211	1321
626	2214	1317
627	2217	1313
628	2221	1310
629	2224	1306
630	2227	1302
631	2230	1298
632	2234	1295
633	2237	1291
634	2239	1287
635	2242	1283
636	2244	1278
637	2246	1274
638	2249	1270
639	2252	1267
640	2256	1263
641	2260	1260
642	2263	1256
643	2267	1253
644	2271	1250
645	2275	1246
646	2278	1243
647	2282	1240
648	2287	1236
649	2290	1233
650	2294	1230
651	2299	1227
652	2302	1223
653	2306	1220
654	2309	1216
655	2311	1212
656	2315	1208
657	2318	1204
658	2321	1201
659	2324	1197
660	2326	1193
661	2329	1189
662	2333	1185
663	2336	1182
664	2338	1178
665	2341	1174
666	2343	1170
667	2347	1166
668	2350	1162
669	2352	1158
670	2355	1154
671	2358	1150
672	2360	1147
673	2363	1143
674	2367	1139
675	2369	1135
676	2371	1131
677	2374	1127
678	2379	1124
679	2382	1120
680	2384	1117
681	2388	1113
682	2393	1111
683	2399	1108
684	2404	1105
685	2406	1101
686	2410	1098
687	2415	1095
688	2420	1092
689	2423	1088
690	2427	1085
691	2431	1082
692	2434	1078
693	2437	1074
694	2440	1070
695	2444	1067
696	2447	1063
697	2451	1060
698	2454	1056
699	2457	1053
700	2461	1050
701	2465	1046
702	2468	1042
703	2471	1039
704	2475	1035
705	2478	1032
706	2482	1028
707	2484	1024
708	2487	1020
709	2491	1017
710	2494	1014
711	2498	1010
712	2501	1006
713	2504	1003
714	2508	999
715	2511	996
716	2514	992
717	2518	989
718	2522	985
719	2526	982
720	2529	978
721	2532	975
722	2534	970
723	2536	966
724	2539	963
725	2542	959
726	2546	956
727	2549	952
728	2552	948
729	2555	945
730	2559	941
731	2563	938
732	2567	935
733	2571	931
734	2574	928
735	2577	924
736	2580	920
737	2582	916
738	2585	913
739	2588	909
740	2591	905
741	2593	901
742	2596	898
743	2598	894
744	2601	890
745	2604	886
746	2607	883
747	2610	879
748	2614	876
749	2617	872
750	2621	869
751	2624	865
752	2629	862
753	2632	859
754	2636	855
755	2640	852
756	2644	848
757	2648	845
758	2652	842
759	2657	839
760	2660	835
761	2664	832
